Ecosystem,Namespace,Name,Version,Artifact,Published,Detected
npm,@ornikar,eslint-config-typescript-react,24.0.10,,2026-08-04T12:44:39.109Z,2026-08-04T12:49:05.132Z
npm,@ornikar,eslint-config-babel-use,13.2.12,,2026-08-04T12:45:12.742Z,2026-08-04T12:49:05.008Z
npm,@ornikar,eslint-plugin-ornikar,24.0.10,,2026-08-04T12:44:38.949Z,2026-08-04T12:49:04.946Z
npm,,pob-test-package-in-monorepo,5.2.14,,2026-08-04T12:45:48.126Z,2026-08-04T12:49:04.794Z
npm,@ornikar,typed-css-modules-loader,0.8.10,,2026-08-04T12:44:09.358Z,2026-08-04T12:49:04.736Z
npm,,pob-test-package-in-monorepo,5.2.12,,2026-08-04T12:44:38.932Z,2026-08-04T12:49:04.662Z
npm,@ornikar,commitlint-config,8.3.10,,2026-08-04T12:44:09.536Z,2026-08-04T12:49:04.568Z
npm,@ornikar,jest-config,13.0.11,,2026-08-04T12:44:09.509Z,2026-08-04T12:49:04.505Z
npm,,pob-test-package-in-monorepo,5.2.11,,2026-08-04T12:44:09.454Z,2026-08-04T12:49:04.494Z
npm,,pob-test-typescript-package-in-monorepo,4.2.12,,2026-08-04T12:44:09.503Z,2026-08-04T12:49:04.491Z
npm,,pob-test-typescript-package-in-monorepo,4.2.17,,2026-08-04T12:46:29.585Z,2026-08-04T12:49:04.455Z
npm,,native-frontend-orb,1.1.17,,2026-08-04T12:46:07.933Z,2026-08-04T12:49:04.443Z
npm,@ornikar,slate-react-fork,1.0.11,,2026-08-04T12:45:11.891Z,2026-08-04T12:49:04.416Z
npm,,babel-plugin-linaria-css-to-undefined,0.3.13,,2026-08-04T12:45:11.522Z,2026-08-04T12:49:04.406Z
npm,@ornikar,repo-config-react-legacy-css,15.1.13,,2026-08-04T12:45:12.013Z,2026-08-04T12:49:04.074Z
npm,,pob-test-package-in-monorepo,5.2.15,,2026-08-04T12:46:07.881Z,2026-08-04T12:49:04.015Z
npm,@ornikar,renovate-config,9.0.13,,2026-08-04T12:45:11.869Z,2026-08-04T12:49:03.962Z
npm,@ornikar,react-native-svg-transformer,1.0.12,,2026-08-04T12:44:00.019Z,2026-08-04T12:49:03.948Z
npm,@ornikar,babel-preset-react,6.1.13,,2026-08-04T12:44:38.947Z,2026-08-04T12:49:03.772Z
npm,@ornikar,rollup-plugin-postcss,2.0.13,,2026-08-04T12:44:09.676Z,2026-08-04T12:49:03.766Z
npm,@ornikar,repo-config-react,13.0.17,,2026-08-04T12:44:09.628Z,2026-08-04T12:49:03.668Z
npm,@ornikar,jest-config-react-native,17.0.9,,2026-08-04T12:44:00.663Z,2026-08-04T12:49:03.656Z
npm,@ornikar,repo-config,15.3.11,,2026-08-04T12:44:09.831Z,2026-08-04T12:49:03.520Z
npm,@ornikar,webpack-config,12.0.9,,2026-08-04T12:44:00.251Z,2026-08-04T12:49:03.456Z
npm,@ornikar,kitt2,1.0.11,,2026-08-04T12:45:11.770Z,2026-08-04T12:49:03.379Z
npm,@ornikar,eslint-config-babel-use,13.2.10,,2026-08-04T12:44:10.325Z,2026-08-04T12:49:03.321Z
npm,@ornikar,lerna-config,11.0.11,,2026-08-04T12:45:11.915Z,2026-08-04T12:49:03.309Z
npm,@ornikar,eslint-config-react,24.0.9,,2026-08-04T12:44:09.731Z,2026-08-04T12:49:03.293Z
npm,@ornikar,repo-config,15.3.10,,2026-08-04T12:44:00.207Z,2026-08-04T12:49:03.260Z
npm,@ornikar,repo-config-react,13.0.18,,2026-08-04T12:44:39.241Z,2026-08-04T12:49:03.169Z
npm,@ornikar,repo-config-react,13.0.16,,2026-08-04T12:44:00.127Z,2026-08-04T12:49:03.148Z
npm,@ornikar,stylelint-config,14.0.10,,2026-08-04T12:44:00.318Z,2026-08-04T12:49:03.059Z
npm,@ornikar,monorepo-config,14.3.12,,2026-08-04T12:44:38.924Z,2026-08-04T12:49:03.046Z
npm,@ornikar,eslint-config,24.0.12,,2026-08-04T12:45:11.692Z,2026-08-04T12:49:02.978Z
npm,@ornikar,renovate-config,9.0.11,,2026-08-04T12:44:09.540Z,2026-08-04T12:49:02.914Z
npm,@ornikar,eslint-plugin-ornikar,24.0.9,,2026-08-04T12:44:09.714Z,2026-08-04T12:49:02.607Z
npm,@ornikar,eslint-config-babel-use,13.2.11,,2026-08-04T12:44:38.923Z,2026-08-04T12:49:02.555Z
npm,@ornikar,jest-config-react-native-web,12.0.13,,2026-08-04T12:45:11.790Z,2026-08-04T12:49:02.536Z
npm,@ornikar,commitlint-config,8.3.12,,2026-08-04T12:45:11.752Z,2026-08-04T12:49:02.320Z
npm,@ornikar,eslint-plugin-neverthrow,1.3.12,,2026-08-04T12:45:11.939Z,2026-08-04T12:49:02.193Z
npm,,pob-test-typescript-package-in-monorepo,4.2.11,,2026-08-04T12:44:00.145Z,2026-08-04T12:49:02.061Z
npm,@ornikar,jest-config,13.0.13,,2026-08-04T12:45:12.337Z,2026-08-04T12:49:02.015Z
npm,,native-frontend-orb,1.1.18,,2026-08-04T12:46:17.170Z,2026-08-04T12:49:01.973Z
